FRA 19:43 API A
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-03-25T11:00:00,2023-03-24T10:41:07,38.5,67.27,9.7,35.897
2023-03-25T10:00:00,2023-03-24T10:41:07,83.2,33.41,8.8,31.763
2023-03-25T09:00:00,2023-03-24T10:41:07,65.5,42.53,4.5,40.004
2023-03-25T08:00:00,2023-03-24T10:41:07,-57.6,56.74,0.1,49.919
2023-03-25T07:00:00,2023-03-24T10:41:07,34.1,57.65,3.7,38.783
2023-03-25T06:00:00,2023-03-24T10:41:07,17.9,59.06,0.6,47.281
2023-03-25T05:00:00,2023-03-24T10:41:07,-7.4,57.85,3.8,48.648
2023-03-25T04:00:00,2023-03-24T10:41:07,79.4,32.41,5.8,30.961
2023-03-25T03:00:00,2023-03-24T10:41:07,19.2,35.2,1,35.221
2023-03-25T02:00:00,2023-03-24T10:41:07,52.2,48.45,2.6,30.489
2023-03-25T01:00:00,2023-03-24T10:41:07,-9.8,53.65,5.1,41.491
2023-03-25T00:00:00,2023-03-24T10:41:07,53.7,51.52,5.5,49.503
2023-03-24T23:00:00,2023-03-24T10:41:07,82.5,46.61,0.7,31.193
2023-03-24T22:00:00,2023-03-24T10:41:07,19.9,47.54,7.2,42.641
2023-03-24T21:00:00,2023-03-24T10:41:07,-43.4,66.12,3.1,33.336
2023-03-24T20:00:00,2023-03-24T10:41:07,30.4,45.28,5.9,44.626
2023-03-24T19:00:00,2023-03-24T10:41:07,-10.5,54.34,9.2,48.354
2023-03-24T18:00:00,2023-03-24T10:41:07,13.9,54.15,9.8,31.05
2023-03-24T17:00:00,2023-03-24T10:41:07,41.3,56.74,8.6,36.925
2023-03-24T16:00:00,2023-03-24T10:41:07,82.5,60.94,4.6,35.847
2023-03-24T15:00:00,2023-03-24T10:41:07,-58.7,40.16,4.7,29.569
2023-03-24T14:00:00,2023-03-24T10:41:07,8.2,50.02,3.1,40.049
2023-03-24T13:00:00,2023-03-24T10:41:07,84.4,39,2.6,44.794
2023-03-24T12:00:00,2023-03-24T10:41:07,42.4,58.03,6.2,37.308


