2023 03 25 - 15:51:20 
This data is from Kincaid Park:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-03-26T07:00:00,2023-03-25T06:31:11,-34,50.47,5.7,44.537
2023-03-26T06:00:00,2023-03-25T06:31:11,22.4,42.59,4.8,39.646
2023-03-26T05:00:00,2023-03-25T06:31:11,0.8,49.45,1.4,41.23
2023-03-26T04:00:00,2023-03-25T06:31:11,-8.8,42.13,1.5,42.106
2023-03-26T03:00:00,2023-03-25T06:31:11,-22.5,49.71,7.2,33.863
2023-03-26T02:00:00,2023-03-25T06:31:11,23.4,65.87,0.2,29.846
2023-03-26T01:00:00,2023-03-25T06:31:10,-50.5,50.94,8.9,45.231
2023-03-26T00:00:00,2023-03-25T06:31:10,14,55.39,7.2,39.666
2023-03-25T23:00:00,2023-03-25T06:31:10,42.1,54.08,6.9,45.091
2023-03-25T22:00:00,2023-03-25T06:31:10,77,69.95,3.4,34.966
2023-03-25T21:00:00,2023-03-25T06:31:10,74.8,35.07,3.7,41.151
2023-03-25T20:00:00,2023-03-25T06:31:10,49.9,51.95,1.8,49.693
2023-03-25T19:00:00,2023-03-25T06:31:10,-47.4,30.5,5.2,31.136
2023-03-25T18:00:00,2023-03-25T06:31:10,16.3,33.18,1,34.327
2023-03-25T17:00:00,2023-03-25T06:31:10,-6.2,41.88,7.7,35.173
2023-03-25T16:00:00,2023-03-25T06:31:10,44.7,64.97,2.4,48.748
2023-03-25T15:00:00,2023-03-25T06:31:10,48.2,37.54,7.7,40.528
2023-03-25T14:00:00,2023-03-25T06:31:10,-3.1,61.81,9,43.95
2023-03-25T13:00:00,2023-03-25T06:31:10,33.7,52.17,7.3,32.757
2023-03-25T12:00:00,2023-03-25T06:31:10,-13.2,41.06,0.7,36.684
2023-03-25T11:00:00,2023-03-25T06:31:10,55.4,54.47,3.5,35.865
2023-03-25T10:00:00,2023-03-25T06:31:10,-59.6,58.37,0.6,42.633
2023-03-25T09:00:00,2023-03-25T06:31:10,12.3,51.56,8.7,36.905
2023-03-25T08:00:00,2023-03-25T06:31:10,-35.7,30.64,6.4,38.287

2023 03 25 - 15:51:20 
This data is from Far North Bicentennial Park:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-03-26T07:00:00,2023-03-25T06:31:11,-7.8,49.24,7.7,44.88
2023-03-26T06:00:00,2023-03-25T06:31:11,33.6,57.96,4.4,44.7
2023-03-26T05:00:00,2023-03-25T06:31:11,75.5,51.45,5.6,40.541
2023-03-26T04:00:00,2023-03-25T06:31:11,89.3,56.67,3.2,31.46
2023-03-26T03:00:00,2023-03-25T06:31:11,-29.2,60.91,1.6,44.43
2023-03-26T02:00:00,2023-03-25T06:31:11,-24.8,34.64,4.3,35.454
2023-03-26T01:00:00,2023-03-25T06:31:11,-36,52.69,2.2,36.621
2023-03-26T00:00:00,2023-03-25T06:31:11,5.1,42.51,1.8,40.657
2023-03-25T23:00:00,2023-03-25T06:31:11,85.2,67.97,2.6,36.152
2023-03-25T22:00:00,2023-03-25T06:31:11,13.1,57.51,0.7,43.719
2023-03-25T21:00:00,2023-03-25T06:31:11,23.7,48.6,2.2,37.072
2023-03-25T20:00:00,2023-03-25T06:31:11,83.6,41.42,5.5,36.72
2023-03-25T19:00:00,2023-03-25T06:31:11,30.7,43.28,2.9,37.034
2023-03-25T18:00:00,2023-03-25T06:31:11,-28.8,60.95,4.7,42.842
2023-03-25T17:00:00,2023-03-25T06:31:11,89.1,62.58,7.3,40.914
2023-03-25T16:00:00,2023-03-25T06:31:11,77,58.74,8.2,48.426
2023-03-25T15:00:00,2023-03-25T06:31:11,6.5,47.53,6.1,48.886
2023-03-25T14:00:00,2023-03-25T06:31:11,70.5,39.79,2.7,35.462
2023-03-25T13:00:00,2023-03-25T06:31:11,40.5,43.24,5.5,34.896
2023-03-25T12:00:00,2023-03-25T06:31:11,16.6,39.88,0.5,38.232
2023-03-25T11:00:00,2023-03-25T06:31:11,76.6,35.66,1.3,34.231
2023-03-25T10:00:00,2023-03-25T06:31:11,44.7,33.76,0.2,49.875
2023-03-25T09:00:00,2023-03-25T06:31:11,70.5,50.01,6.1,43.243
2023-03-25T08:00:00,2023-03-25T06:31:11,22.6,32.96,9.5,48.097

2023 03 25 - 15:51:20 
This data is from Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-03-26T07:00:00,2023-03-25T06:31:10,-32.3,69.15,0.7,37.823
2023-03-26T06:00:00,2023-03-25T06:31:10,39.3,55.66,4.8,45.867
2023-03-26T05:00:00,2023-03-25T06:31:10,60.8,55.16,1.3,44.478
2023-03-26T04:00:00,2023-03-25T06:31:10,9.7,38.71,2.5,45.352
2023-03-26T03:00:00,2023-03-25T06:31:10,56.5,54.57,8.8,38.345
2023-03-26T02:00:00,2023-03-25T06:31:10,26.9,52.23,9.6,43.06
2023-03-26T01:00:00,2023-03-25T06:31:10,-47,67.05,2.8,37.716
2023-03-26T00:00:00,2023-03-25T06:31:10,58.8,69.41,2.2,41.228
2023-03-25T23:00:00,2023-03-25T06:31:10,84.8,45.09,2.9,31.143
2023-03-25T22:00:00,2023-03-25T06:31:10,76,43.68,8.4,49.21
2023-03-25T21:00:00,2023-03-25T06:31:10,-9.3,36.65,3.9,34.825
2023-03-25T20:00:00,2023-03-25T06:31:10,-48,48.21,1.3,46.786
2023-03-25T19:00:00,2023-03-25T06:31:10,84,49.39,2,42.109
2023-03-25T18:00:00,2023-03-25T06:31:10,-57.7,37.38,0.2,41.904
2023-03-25T17:00:00,2023-03-25T06:31:10,34.4,30.09,5.5,43.568
2023-03-25T16:00:00,2023-03-25T06:31:10,-16.1,57.6,0.5,42.429
2023-03-25T15:00:00,2023-03-25T06:31:10,41.8,42.64,8.5,33.859
2023-03-25T14:00:00,2023-03-25T06:31:10,-43.1,64.9,7.5,39.764
2023-03-25T13:00:00,2023-03-25T06:31:10,26.6,62.61,5.2,36.51
2023-03-25T12:00:00,2023-03-25T06:31:10,-31.1,47.65,1,44.498
2023-03-25T11:00:00,2023-03-25T06:31:10,-46.3,51.28,6.9,36.961
2023-03-25T10:00:00,2023-03-25T06:31:10,-20.8,33.5,1.6,48.009
2023-03-25T09:00:00,2023-03-25T06:31:10,-36,43.42,4.8,42.513
2023-03-25T08:00:00,2023-03-25T06:31:10,-58.6,64.96,2.5,31.642

2023 03 25 - 15:51:20 
This data is from Fire Island:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-03-26T07:00:00,2023-03-25T06:31:11,10.7,50.47,6.6,41.016
2023-03-26T06:00:00,2023-03-25T06:31:11,-57.3,43.42,2.9,34.502
2023-03-26T05:00:00,2023-03-25T06:31:11,-15.7,48.62,0.5,38.98
2023-03-26T04:00:00,2023-03-25T06:31:11,34.5,51.41,8.7,48.164
